cell_id,arm,trial_index,seed,param_Dpd,param_alpha,param_R,Tproc_s,Ttx_s,Bpw_bytes,eta,deadline_s,Pcomplete,n_rounds,n_clients,status,duration_s,error
Dpd=10MB|R=5|alpha=0.5,FL,15,1632398428,10MB,0.5,5,4.202611846034415,4.202460906933993,2000000,0.5,4.194304,0,5,4,ok,4.202851057052612,
Dpd=10MB|R=5|alpha=0.5,Centralized,15,1632398428,10MB,0.5,5,8.851387100992724,8.851387100992724,10485760,1.0,4.194304,0,1,4,ok,8.851874351501465,
Dpd=10MB|R=5|alpha=0.5,FL,16,2512929625,10MB,0.5,5,4.202702985960059,4.202551989001222,2000000,0.5,4.194304,0,5,4,ok,4.2029407024383545,
Dpd=10MB|R=5|alpha=0.5,Centralized,16,2512929625,10MB,0.5,5,8.847860172041692,8.847860172041692,10485760,1.0,4.194304,0,1,4,ok,8.848315000534058,
Dpd=10MB|R=5|alpha=0.5,FL,17,2736956801,10MB,0.5,5,4.202535668970086,4.2023832177510485,2000000,0.5,4.194304,0,5,4,ok,4.202773332595825,
Dpd=10MB|R=5|alpha=0.5,Centralized,17,2736956801,10MB,0.5,5,8.847860989975743,8.847860989975743,10485760,1.0,4.194304,0,1,4,ok,8.848343133926392,
Dpd=10MB|R=5|alpha=0.5,FL,18,1389408226,10MB,0.5,5,4.202194262994453,4.202037858776748,2000000,0.5,4.194304,0,5,4,ok,4.202434778213501,
Dpd=10MB|R=5|alpha=0.5,Centralized,18,1389408226,10MB,0.5,5,8.849127330002375,8.849127330002375,10485760,1.0,4.194304,0,1,4,ok,8.849608421325684,
Dpd=10MB|R=5|alpha=0.5,FL,19,1572349640,10MB,0.5,5,4.202358535025269,4.202203785069287,2000000,0.5,4.194304,0,5,4,ok,4.202617645263672,
Dpd=10MB|R=5|alpha=0.5,Centralized,19,1572349640,10MB,0.5,5,8.845855802996084,8.845855802996084,10485760,1.0,4.194304,0,1,4,ok,8.84632682800293,
Dpd=10MB|R=20|alpha=0.5,FL,0,91646157,10MB,0.5,20,16.681856360984966,16.68167449592147,8000000,0.5,4.194304,0,20,4,ok,16.682103633880615,
Dpd=10MB|R=20|alpha=0.5,Centralized,0,91646157,10MB,0.5,20,8.845474829082377,8.845474829082377,10485760,1.0,4.194304,0,1,4,ok,8.84598183631897,
Dpd=10MB|R=20|alpha=0.5,FL,1,3147126957,10MB,0.5,20,16.681487925932743,16.681307721650228,8000000,0.5,4.194304,0,20,4,ok,16.68173384666443,
Dpd=10MB|R=20|alpha=0.5,Centralized,1,3147126957,10MB,0.5,20,8.848151626996696,8.848151626996696,10485760,1.0,4.194304,0,1,4,ok,8.848622798919678,
Dpd=10MB|R=20|alpha=0.5,FL,2,3453011416,10MB,0.5,20,16.680164105957374,16.67998566199094,8000000,0.5,4.194304,0,20,4,ok,16.680402040481567,
Dpd=10MB|R=20|alpha=0.5,Centralized,2,3453011416,10MB,0.5,20,8.847455605049618,8.847455605049618,10485760,1.0,4.194304,0,1,4,ok,8.847957134246826,
Dpd=10MB|R=20|alpha=0.5,FL,3,2327998850,10MB,0.5,20,16.680346437031403,16.680164667777717,8000000,0.5,4.194304,0,20,4,ok,16.680588722229004,
Dpd=10MB|R=20|alpha=0.5,Centralized,3,2327998850,10MB,0.5,20,8.848190890043043,8.848190890043043,10485760,1.0,4.194304,0,1,4,ok,8.848681688308716,
Dpd=10MB|R=20|alpha=0.5,FL,4,468118102,10MB,0.5,20,16.68122338503599,16.681041917414404,8000000,0.5,4.194304,0,20,4,ok,16.68147373199463,
Dpd=10MB|R=20|alpha=0.5,Centralized,4,468118102,10MB,0.5,20,8.84536365000531,8.84536365000531,10485760,1.0,4.194304,0,1,4,ok,8.845841407775879,
Dpd=10MB|R=20|alpha=0.5,FL,5,1839253337,10MB,0.5,20,16.67989834002219,16.67972194380127,8000000,0.5,4.194304,0,20,4,ok,16.680147647857666,
Dpd=10MB|R=20|alpha=0.5,Centralized,5,1839253337,10MB,0.5,20,8.8452219030587,8.8452219030587,10485760,1.0,4.194304,0,1,4,ok,8.845683574676514,
Dpd=10MB|R=20|alpha=0.5,FL,6,3289614520,10MB,0.5,20,16.68061537097674,16.680431118933484,8000000,0.5,4.194304,0,20,4,ok,16.68086552619934,
Dpd=10MB|R=20|alpha=0.5,Centralized,6,3289614520,10MB,0.5,20,8.848287828965113,8.848287828965113,10485760,1.0,4.194304,0,1,4,ok,8.848787069320679,
Dpd=10MB|R=20|alpha=0.5,FL,7,4225522053,10MB,0.5,20,16.680226517957635,16.680053031188436,8000000,0.5,4.194304,0,20,4,ok,16.680468320846558,
Dpd=10MB|R=20|alpha=0.5,Centralized,7,4225522053,10MB,0.5,20,8.84871678892523,8.84871678892523,10485760,1.0,4.194304,0,1,4,ok,8.849222660064697,
Dpd=10MB|R=20|alpha=0.5,FL,8,2214312135,10MB,0.5,20,16.681832597008906,16.681653377017938,8000000,0.5,4.194304,0,20,4,ok,16.682079792022705,
Dpd=10MB|R=20|alpha=0.5,Centralized,8,2214312135,10MB,0.5,20,8.849427334032953,8.849427334032953,10485760,1.0,4.194304,0,1,4,ok,8.849892616271973,
Dpd=10MB|R=20|alpha=0.5,FL,9,2026947211,10MB,0.5,20,16.679951131925918,16.679776738514192,8000000,0.5,4.194304,0,20,4,ok,16.680196285247803,
Dpd=10MB|R=20|alpha=0.5,Centralized,9,2026947211,10MB,0.5,20,8.84846704499796,8.84846704499796,10485760,1.0,4.194304,0,1,4,ok,8.848944425582886,
Dpd=10MB|R=20|alpha=0.5,FL,10,3317884557,10MB,0.5,20,16.681462959037162,16.68128570599947,8000000,0.5,4.194304,0,20,4,ok,16.68170738220215,
Dpd=10MB|R=20|alpha=0.5,Centralized,10,3317884557,10MB,0.5,20,8.848335180082358,8.848335180082358,10485760,1.0,4.194304,0,1,4,ok,8.848805904388428,
Dpd=10MB|R=20|alpha=0.5,FL,11,2713992425,10MB,0.5,20,16.681271702051163,16.681065544951707,8000000,0.5,4.194304,0,20,4,ok,16.68151593208313,
Dpd=10MB|R=20|alpha=0.5,Centralized,11,2713992425,10MB,0.5,20,8.849074159981683,8.849074159981683,10485760,1.0,4.194304,0,1,4,ok,8.84957218170166,
Dpd=10MB|R=20|alpha=0.5,FL,12,119808306,10MB,0.5,20,16.68049488600809,16.680321744992398,8000000,0.5,4.194304,0,20,4,ok,16.680731296539307,
Dpd=10MB|R=20|alpha=0.5,Centralized,12,119808306,10MB,0.5,20,8.84576759499032,8.84576759499032,10485760,1.0,4.194304,0,1,4,ok,8.846242904663086,
Dpd=10MB|R=20|alpha=0.5,FL,13,3112410106,10MB,0.5,20,16.68098382197786,16.680806761607528,8000000,0.5,4.194304,0,20,4,ok,16.681232929229736,
Dpd=10MB|R=20|alpha=0.5,Centralized,13,3112410106,10MB,0.5,20,8.845729125081562,8.845729125081562,10485760,1.0,4.194304,0,1,4,ok,8.846199989318848,
Dpd=10MB|R=20|alpha=0.5,FL,14,1422675153,10MB,0.5,20,16.68004230596125,16.679864351172,8000000,0.5,4.194304,0,20,4,ok,16.680283308029175,
Dpd=10MB|R=20|alpha=0.5,Centralized,14,1422675153,10MB,0.5,20,8.844665281008929,8.844665281008929,10485760,1.0,4.194304,0,1,4,ok,8.84518313407898,
Dpd=10MB|R=20|alpha=0.5,FL,15,3602993548,10MB,0.5,20,16.68040591699537,16.680222764262,8000000,0.5,4.194304,0,20,4,ok,16.680651903152466,
