cell_id,arm,trial_index,seed,param_Dpd,param_alpha,param_R,Tproc_s,Ttx_s,Bpw_bytes,eta,deadline_s,Pcomplete,n_rounds,n_clients,status,duration_s,error
Dpd=100MB|R=20|alpha=1.0,FL,15,1128373741,100MB,1.0,20,51.92017674201634,51.920028261025436,8000000,0.5,83.88608,1,20,4,ok,51.92043876647949,
Dpd=100MB|R=20|alpha=1.0,Centralized,15,1128373741,100MB,1.0,20,872.1673973590368,872.1673973590368,104857600,1.0,83.88608,0,1,4,ok,872.1679010391235,
Dpd=100MB|R=20|alpha=1.0,FL,16,2409717749,100MB,1.0,20,51.283478731988,51.28336797084194,8000000,0.5,83.88608,1,20,4,ok,51.283713817596436,
Dpd=100MB|R=20|alpha=1.0,Centralized,16,2409717749,100MB,1.0,20,873.6919821840711,873.6919821840711,104857600,1.0,83.88608,0,1,4,ok,873.6927132606506,
Dpd=100MB|R=20|alpha=1.0,FL,17,1837521567,100MB,1.0,20,52.273309060023166,52.273170225089416,8000000,0.5,83.88608,1,20,4,ok,52.27355885505676,
Dpd=100MB|R=20|alpha=1.0,Centralized,17,1837521567,100MB,1.0,20,873.0918804079993,873.0918804079993,104857600,1.0,83.88608,0,1,4,ok,873.0927248001099,
Dpd=100MB|R=20|alpha=1.0,FL,18,1989211861,100MB,1.0,20,52.50844529597089,52.508241879870184,8000000,0.5,83.88608,1,20,4,ok,52.50871968269348,
Dpd=100MB|R=20|alpha=1.0,Centralized,18,1989211861,100MB,1.0,20,873.3871129619656,873.3871129619656,104857600,1.0,83.88608,0,1,4,ok,873.3879041671753,
Dpd=100MB|R=20|alpha=1.0,FL,19,2075248177,100MB,1.0,20,54.61414561793208,54.61399712914135,8000000,0.5,83.88608,1,20,4,ok,54.61440658569336,
Dpd=100MB|R=20|alpha=1.0,Centralized,19,2075248177,100MB,1.0,20,876.4058006189298,876.4058006189298,104857600,1.0,83.88608,0,1,4,ok,876.4064991474152,
